customer_id,join_date,city,postal_code
1,18/12/2022,Angermuende,65619
2,02/05/2024,Ingolstadt,32163
3,10/08/2023,Wolmirstedt,41064
4,08/03/2023,Griesbach Rottal,13914
5,19/08/2024,Einbeck,32846
6,25/01/2024,Brandenburg,40661
7,20/05/2024,Hamburg,33685
8,05/07/2024,Parchim,23166
9,05/02/2024,Mallersdorf,89339
10,15/06/2023,Muehldorf am Inn,60688
11,18/09/2023,Northeim,39462
12,11/10/2024,Uffenheim,97851
13,18/09/2024,Amberg,78136
14,14/01/2023,Schwaebisch Gmuend,85754
15,17/01/2023,Staffelstein,47273
16,08/04/2024,Rostock,00589
17,12/03/2025,Geithain,93563
18,01/08/2023,Lobenstein,19156
19,01/09/2024,Spremberg,54559
20,21/11/2022,Stassfurt,25214
21,21/10/2023,Nordhausen,25214
22,08/11/2023,Husum,64347
23,21/03/2024,Sigmaringen,32690
24,29/04/2025,Haldensleben,48261
25,23/08/2024,Borna,64405
26,20/11/2022,Gotha,70025
27,07/09/2025,Konstanz,97237
28,05/10/2023,Worbis,01822
29,16/08/2025,Erding,89700
30,31/07/2023,Fleoha,46221
31,24/03/2025,Diepholz,14727
32,23/08/2025,Euskirchen,00549
33,24/09/2023,Bad Kreuznach,58075
34,18/06/2025,Naila,33687
35,15/01/2025,Stassfurt,34264
36,26/01/2025,Erding,28606
37,16/02/2024,Gadebusch,77606
38,05/09/2023,Norden,96446
39,27/02/2023,Biedenkopf,71698
40,07/07/2024,Keonigs Wusterhausen,19200
41,06/01/2025,Stollberg,77839
42,16/04/2025,Gera,34440
43,28/10/2022,Quedlinburg,32388
44,02/11/2024,Muehldorf am Inn,35079
45,16/02/2024,Badibling,92659
46,17/04/2024,Sangerhausen,77070
47,21/04/2025,Eberswalde,24903
48,04/03/2025,Nauen,85173
49,09/01/2024,Zschopau,17638
50,10/09/2025,Muenchen,89408
51,30/10/2023,Badoberan,68290
52,28/09/2022,Forchheim,83529
53,08/09/2023,Fuerstenwalde,17954
54,11/11/2022,Kulmbach,70612
55,25/04/2024,Rudolstadt,79228
56,06/11/2022,Neubrandenburg,90858
57,13/12/2023,Schmeolln,11741
58,15/10/2022,Greifswald,11717
59,09/12/2022,Stuttgart,61048
60,12/05/2025,Beoblingen,44299
61,05/10/2022,Helmstedt,52654
62,19/01/2023,Bad Liebenwerda,70715
63,15/09/2023,Eisenberg,22980
64,12/06/2023,Neustrelitz,45795
65,17/12/2024,Beoblingen,83871
66,27/11/2024,Witzenhausen,77367
67,08/01/2024,Bad Liebenwerda,87855
68,23/02/2023,Fulda,32302
69,24/11/2022,Wiedenbrueck,06921
70,06/10/2024,Wittstock,01504
71,24/03/2024,Warendorf,18185
72,30/12/2024,Stassfurt,71179
73,29/04/2024,Gransee,54449
74,12/02/2025,Wolfratshausen,11927
75,24/02/2023,Saeckingen,93950
76,02/04/2023,Leipziger Land,59430
77,17/07/2025,Lippstadt,35871
78,12/12/2024,Coburg,44598
79,15/12/2023,Eisleben,88450
80,01/03/2024,Ribnitz-Damgarten,68097
81,18/01/2023,Kleotze,11933
82,04/11/2022,Melsungen,61819
83,03/03/2023,Hannoversch Muenden,13570
84,06/11/2023,Dueren,29884
85,25/11/2023,Holzminden,02512
86,26/04/2025,Guben,33604
87,28/11/2023,Schwarzenberg,13137
88,24/11/2022,Beeskow,80673
89,08/10/2023,Celle,72092
90,17/04/2025,Borna,31559
91,29/03/2025,Gelnhausen,05072
92,03/01/2024,Heinsberg,93700
93,07/05/2024,Zerbst,75281
94,20/03/2025,Wetzlar,80593
95,03/06/2023,Hainichen,62514
96,19/12/2024,Eberswalde,49858
97,15/03/2024,Eisenberg,96490
98,07/06/2025,Dueren,96908
99,01/09/2024,Beeskow,53863
100,29/06/2023,Geottingen,82893
101,20/05/2024,Bamberg,59729
102,12/07/2024,Stassfurt,83082
103,29/11/2024,Neuruppin,11464
104,14/11/2024,Mittweida,63594
105,13/12/2023,Eberswalde,25185
106,02/06/2024,Guben,73926
107,22/06/2024,Soest,80366
108,25/08/2025,Miesbach,37804
109,25/07/2024,Aachen,07559
110,26/05/2025,Pegnitz,21905
111,23/10/2023,Olpe,98620
112,02/01/2023,Eberswalde,24075
113,21/07/2025,Vohenstrauss,42422
114,28/02/2024,Buesingen am Hochrhein,10402
115,23/10/2023,Osterburg,61749
116,19/10/2022,Meissen,32780
117,13/10/2024,Strasburg,41884
118,18/12/2022,Wetzlar,01114
119,20/08/2024,Karlsruhe,38702
120,28/01/2024,Luckau,07147
121,19/03/2024,Angermuende,22320
122,17/07/2024,Schrobenhausen,45976
123,04/11/2024,Eckernfeorde,71234
124,24/04/2025,Luedenscheid,94728
125,22/10/2022,Schwerin,96913
126,23/02/2024,Ebersberg,65401
127,19/09/2022,Monschau,50323
128,10/03/2023,Augsburg,06186
129,24/08/2024,Tuebingen,06644
130,13/08/2024,Celle,21530
131,09/08/2023,Eisleben,55479
132,15/05/2023,Bernburg,80454
133,18/04/2024,Schmeolln,07963
134,29/08/2024,Kulmbach,67476
135,04/09/2024,Pirmasens,53981
136,31/12/2022,Oschatz,67096
137,20/05/2024,Burgdorf,16921
138,07/09/2024,Karlsruhe,22241
139,14/06/2025,Kassel,48160
140,28/08/2023,Ebermannstadt,79302
141,18/04/2024,Eggenfelden,81481
142,28/09/2022,Sulzbach-Rosenberg,15367
143,22/03/2023,Guetersloh,57999
144,18/02/2025,Euskirchen,17778
145,22/12/2023,Graefenhainichen,21048
146,23/08/2023,Riesa,76180
147,04/10/2022,Peine,53739
148,06/02/2023,Bersenbrueck,36281
149,25/11/2024,Jueterbog,28700
150,16/05/2023,Celle,92802
151,19/06/2023,Oranienburg,62833
152,08/03/2023,Ludwigsburg,45665
153,10/05/2023,Hechingen,17251
154,15/04/2023,Freising,29781
155,17/03/2024,Juelich,33488
156,14/11/2022,Saeckingen,86543
157,31/12/2023,Schweinfurt,99682
158,15/10/2022,Pritzwalk,39098
159,05/12/2023,Mayen,90197
160,24/03/2024,Eisenberg,08562
161,03/04/2024,Malchin,26706
162,14/06/2024,Bamberg,06036
163,18/07/2023,Querfurt,50217
164,08/03/2025,Luebben,75829
165,05/04/2023,Bremen,02809
166,09/11/2022,Backnang,17692
167,09/06/2024,Aachen,16319
168,16/07/2023,Parsberg,84599
169,31/10/2022,Sangerhausen,66140
170,01/01/2025,Wiedenbrueck,66044
171,09/02/2025,Heoxter,76240
172,27/11/2022,Guben,59672
173,23/05/2023,Gross-Gerau,00342
174,10/03/2024,Saulgau,94313
175,05/02/2024,Bad Liebenwerda,69666
176,01/03/2023,Graefenhainichen,49932
177,16/03/2025,Strausberg,49453
178,19/02/2023,Uffenheim,81960
179,24/01/2024,Sigmaringen,33319
180,29/04/2023,Ludwigslust,35373
181,26/09/2022,Guetersloh,72655
182,13/03/2023,Pirmasens,58259
183,10/09/2024,Burg,47144
184,15/09/2022,Reutlingen,92640
185,18/05/2024,Marktheidenfeld,68586
186,12/03/2024,Seelow,67503
187,25/02/2023,Main-Heochst,25378
188,12/11/2024,Muehldorf am Inn,90943
189,21/01/2023,Gadebusch,07418
190,26/04/2023,Luckau,28860
191,12/06/2023,Dachau,35835
192,08/11/2024,Mallersdorf,39520
193,04/01/2023,Dachau,68346
194,06/02/2025,Worbis,21289
195,09/03/2023,Lobenstein,85912
196,17/07/2024,Viechtach,99623
197,09/04/2025,Cuxhaven,37158
198,03/10/2024,Brandenburg,29424
199,30/11/2022,Anklam,84768
200,27/12/2022,Bad Mergentheim,83359
201,18/01/2025,Wernigerode,30778
202,29/09/2022,Germersheim,93905
203,15/05/2024,Biedenkopf,48179
204,17/01/2024,Finsterwalde,22989
205,03/04/2025,Illertissen,21604
206,13/11/2024,Bruchsal,94460
207,12/11/2024,Starnberg,69572
208,27/11/2022,Freising,36319
209,11/05/2025,Duderstadt,61148
210,17/09/2024,Zeulenroda,53005
211,22/10/2022,Neustadtner Waldnaab,52397
212,19/11/2024,Gerolzhofen,63185
213,14/09/2023,Geithain,53251
214,28/11/2022,Scheinfeld,91750
215,22/12/2022,Bad Freienwalde,94011
216,02/10/2023,Anklam,81476
217,20/06/2025,Hansestadttralsund,12468
218,15/06/2025,Zeulenroda,08937
219,14/11/2023,Havelberg,02296
220,02/04/2024,Wanzleben,85286
221,12/06/2024,Perleberg,06460
222,11/03/2025,Zschopau,35589
223,04/04/2023,Erfurt,86260
224,06/09/2023,Schongau,83771
225,29/05/2025,Querfurt,19912
226,12/05/2023,Recklinghausen,22198
227,27/08/2024,Grimmen,20276
228,24/07/2025,Rudolstadt,51778
229,13/12/2024,Roding,97035
230,21/10/2023,Deobeln,34078
231,20/01/2024,Cuxhaven,66654
232,25/05/2025,Apolda,48212
233,11/08/2025,Parsberg,37479
234,17/03/2023,Sebnitz,35155
235,15/07/2023,Bitterfeld,30874
236,30/06/2024,Scheinfeld,51004
237,21/10/2022,Muehldorf am Inn,78195
238,05/11/2023,Iserlohn,84643
239,18/08/2023,Gotha,26633
240,02/09/2023,Meissen,55509
241,19/03/2025,Reutlingen,56062
242,28/01/2024,Bischofswerda,07065
243,10/11/2024,Borna,44247
244,26/02/2025,Moers,04830
245,10/12/2022,Strasburg,83787
246,28/05/2025,Wolfenbuettel,50528
247,24/07/2025,Havelberg,86791
248,25/11/2022,Roth,34882
249,19/11/2023,Fuerstenfeldbruck,85715
250,07/11/2024,Kronach,25357
251,20/01/2024,Neustadtner Waldnaab,57378
252,08/12/2022,Bernburg,41500
253,09/01/2023,Fulda,73703
254,22/02/2023,Oranienburg,34597
255,13/08/2023,Siegen,32066
256,31/07/2023,Jessen,83474
257,04/02/2025,Osterburg,34256
258,09/08/2024,Schwerin,44590
259,05/08/2025,Zerbst,20091
260,18/08/2025,Waldmuenchen,66441
261,06/04/2024,Garmisch-Partenkirchen,16051
262,05/02/2025,Bad Langensalza,74607
263,10/09/2024,Badalzungen,42431
264,01/07/2024,Roding,05714
265,01/09/2024,Teterow,21763
266,09/06/2025,Hildburghausen,63549
267,07/04/2025,Gadebusch,13384
