order_item_id,order_id,product_id,quantity
1,1,17,1
2,2,49,1
3,2,13,3
4,3,96,3
5,3,25,2
6,3,20,3
7,4,47,3
8,4,71,3
9,5,11,1
10,5,92,2
11,5,20,2
12,5,87,1
13,6,9,3
14,6,21,2
15,6,70,2
16,7,25,3
17,7,11,3
18,8,8,1
19,8,27,3
20,9,97,1
21,9,69,1
22,9,12,3
23,9,18,1
24,9,30,2
25,10,9,2
26,10,11,1
27,10,93,1
28,10,47,3
29,11,67,1
30,12,84,3
31,13,98,2
32,13,7,3
33,13,72,3
34,13,15,2
35,13,92,2
36,14,1,3
37,14,10,3
38,14,59,2
39,14,49,3
40,15,59,1
41,15,86,2
42,16,88,1
43,16,57,1
44,16,39,3
45,16,15,1
46,17,57,1
47,18,74,2
48,18,75,2
49,18,100,2
50,18,94,2
51,19,66,1
52,19,75,3
53,19,36,3
54,20,82,3
55,20,35,3
56,20,92,2
57,20,5,1
58,21,84,3
59,21,15,1
60,22,74,2
61,23,13,1
62,23,54,2
63,24,90,3
64,24,20,3
65,25,48,1
66,26,72,2
67,26,88,3
68,26,22,3
69,27,9,1
70,27,47,1
71,28,18,1
72,28,27,3
73,28,90,3
74,28,7,3
75,29,97,1
76,29,68,2
77,29,37,2
78,29,6,3
79,29,93,2
80,30,10,2
81,30,59,1
82,31,8,2
83,31,98,3
84,31,83,2
85,31,38,2
86,32,80,2
87,32,75,2
88,32,84,3
89,32,29,2
90,33,90,1
91,33,40,1
92,33,11,2
93,33,24,3
94,33,26,2
95,34,72,2
96,34,18,2
97,35,4,1
98,35,69,1
99,35,36,1
100,35,8,2
101,35,46,2
102,36,88,1
103,36,86,2
104,36,34,3
105,36,46,2
106,37,72,3
107,37,61,1
108,38,73,3
109,38,84,2
110,38,55,2
111,38,88,1
112,38,28,1
113,39,12,3
114,39,79,3
115,39,94,2
116,39,76,3
117,40,35,2
118,40,14,1
119,40,6,2
120,41,46,3
121,42,10,1
122,42,81,2
123,42,74,2
124,42,3,2
125,43,55,1
126,44,80,1
127,44,88,1
128,44,35,2
129,44,28,1
130,45,80,2
131,45,69,2
132,45,47,3
133,46,87,1
134,47,8,3
135,47,75,3
136,47,45,3
137,47,87,2
138,47,26,3
139,48,56,2
140,48,18,3
141,48,59,2
142,48,44,2
143,49,52,2
144,49,4,3
145,49,15,2
146,50,97,3
147,50,98,1
148,50,75,3
149,50,19,1
150,50,88,3
151,51,99,3
152,51,75,1
153,51,67,2
154,52,81,2
155,52,19,2
156,52,30,3
157,52,71,1
158,53,96,3
159,53,15,3
160,53,16,2
161,53,57,2
162,53,60,2
163,54,59,1
164,54,77,1
165,54,70,2
166,55,9,3
167,55,5,3
168,55,70,3
169,56,4,2
170,56,44,3
171,57,16,2
172,57,12,3
173,57,77,1
174,58,4,1
175,58,72,3
176,58,46,2
177,58,47,2
178,58,16,2
179,59,58,1
180,60,50,1
181,60,91,3
182,60,46,3
183,61,76,1
184,62,16,1
185,62,64,1
186,62,19,3
187,63,35,2
188,64,11,3
189,65,88,3
190,65,87,1
191,66,96,1
192,67,18,3
193,68,99,3
194,68,35,1
195,68,76,2
196,68,53,3
197,68,28,2
198,69,96,1
199,69,69,1
200,69,5,2
201,70,41,3
202,70,26,2
203,70,86,2
204,71,83,1
205,71,76,2
206,71,54,3
207,72,32,3
208,72,33,3
209,72,87,1
210,72,91,1
211,72,29,1
212,73,33,1
213,73,12,3
214,73,93,2
215,73,87,2
216,74,88,3
217,74,74,2
218,74,61,1
219,75,59,2
220,75,37,1
221,75,39,2
222,76,67,3
223,76,80,1
224,76,53,2
225,76,22,1
226,76,93,1
227,77,19,3
228,78,67,2
229,78,87,1
230,78,61,2
231,78,30,2
232,78,95,1
233,79,56,3
234,79,17,1
235,79,34,1
236,79,92,3
237,80,64,2
238,80,66,1
239,80,44,2
240,80,79,1
241,80,90,3
242,81,29,1
243,82,65,3
244,82,40,1
245,82,43,2
246,82,82,3
247,82,28,3
248,83,65,2
249,83,70,1
250,83,74,3
251,83,50,2
252,83,57,2
253,84,8,3
254,84,49,2
255,84,22,1
256,85,100,3
257,85,36,1
258,85,57,2
259,85,29,3
260,85,31,1
261,86,23,2
262,87,27,2
263,87,77,2
264,88,100,1
265,88,44,1
266,88,87,1
267,88,29,2
268,88,63,3
269,89,88,2
270,89,58,2
271,90,29,2
272,91,98,3
273,91,51,1
274,91,53,2
275,91,70,3
276,92,7,1
277,92,13,1
278,92,81,2
279,92,50,2
280,92,21,2
281,93,97,3
282,93,90,3
283,94,98,2
284,95,72,3
285,95,40,3
286,95,84,1
287,96,96,3
288,96,98,3
289,96,44,3
290,96,18,2
291,96,88,2
292,97,60,2
293,98,72,2
294,98,80,1
295,99,7,2
296,99,44,3
297,99,51,3
298,99,52,2
299,99,27,1
300,100,43,2
301,100,69,1
302,100,95,2
303,101,98,2
304,101,99,1
305,101,11,1
306,101,77,2
307,101,82,1
308,102,66,2
309,102,73,3
310,102,49,1
311,102,50,2
312,102,88,2
313,103,66,3
314,103,87,2
315,104,27,3
316,104,69,1
317,105,72,3
318,105,28,3
319,105,37,2
320,105,95,3
321,106,53,1
322,107,64,3
323,108,64,1
324,108,33,2
325,108,51,1
326,108,93,1
327,109,2,1
328,109,3,2
329,109,39,3
330,109,41,1
331,109,49,3
332,110,73,3
333,110,59,3
334,110,12,1
335,111,16,1
336,112,32,1
337,112,91,1
338,112,54,2
339,113,2,1
340,113,12,3
341,114,15,1
342,114,80,3
343,114,81,2
344,114,83,3
345,114,51,1
346,115,92,1
347,115,61,1
348,116,4,3
349,116,41,2
350,116,43,1
351,116,16,3
352,116,81,3
353,117,19,1
354,117,12,2
355,117,28,3
356,117,46,3
357,118,15,3
358,119,71,3
359,120,50,3
360,120,75,1
361,121,41,2
362,121,48,2
363,121,82,1
364,121,28,1
365,121,29,1
366,122,73,3
367,122,95,2
368,123,88,1
369,123,57,2
370,123,90,1
371,123,86,3
372,124,56,1
373,124,65,2
374,124,90,3
375,124,17,3
376,125,99,2
377,125,36,2
378,125,73,3
379,125,15,3
380,125,26,2
381,126,16,2
382,126,83,3
383,126,57,2
384,126,28,2
385,126,61,3
386,127,87,2
387,127,62,3
388,127,15,2
389,128,95,3
390,129,98,3
391,129,13,3
392,129,94,1
393,129,55,3
394,130,48,3
395,130,97,2
396,130,6,3
397,130,7,2
398,131,48,1
399,131,59,2
400,132,32,2
401,132,68,2
402,132,10,1
403,132,43,3
404,132,22,3
405,133,75,1
406,133,28,3
407,134,78,2
408,135,62,3
409,136,2,3
410,137,97,3
411,137,73,1
412,137,20,3
413,137,59,1
414,137,94,1
415,138,32,3
416,138,27,2
417,138,43,2
418,138,100,1
419,139,67,1
420,139,75,3
421,139,77,1
422,139,60,3
423,139,63,1
424,140,74,1
425,140,21,1
426,140,85,2
427,140,90,1
428,140,93,3
429,141,99,1
430,141,69,1
431,141,94,3
432,142,39,1
433,142,20,1
434,142,53,2
435,142,85,1
436,142,21,2
437,143,69,1
438,143,100,3
439,143,45,1
440,143,87,2
441,144,49,3
442,144,21,2
443,144,14,2
444,144,95,3
445,145,2,1
446,145,40,2
447,145,73,1
448,145,91,2
449,145,94,1
450,146,45,3
451,147,34,3
452,147,42,1
453,147,14,3
454,147,49,3
455,147,58,2
456,148,3,2
457,148,76,3
458,148,84,3
459,148,57,1
460,148,92,1
461,149,47,3
462,150,33,3
463,150,34,2
464,150,21,3
465,150,49,1
466,151,2,1
467,151,100,3
468,151,85,3
469,152,71,1
470,152,40,3
471,152,78,1
472,152,81,3
473,152,31,2
474,153,57,1
475,153,21,1
476,153,23,3
477,154,49,3
478,154,100,2
479,155,68,3
480,155,39,2
481,155,53,2
482,155,24,1
483,155,25,1
484,156,34,3
485,156,43,1
486,157,81,1
487,157,18,3
488,157,92,2
489,158,40,1
490,158,3,3
491,158,60,1
492,158,29,1
493,159,99,3
494,159,36,3
495,159,77,1
496,159,79,3
497,159,60,2
498,160,17,1
499,160,90,3
500,160,87,3
501,161,40,1
502,162,66,1
503,162,43,1
504,162,45,2
505,162,70,2
506,163,16,3
507,163,51,3
508,163,39,2
509,164,92,1
510,164,86,1
511,165,36,1
512,166,65,2
513,166,74,1
514,166,71,1
515,167,88,2
516,167,44,1
517,167,22,2
518,167,15,3
519,168,26,2
520,168,70,1
521,169,27,3
522,169,53,1
523,169,86,3
524,170,66,3
525,171,66,1
526,171,42,3
527,171,55,1
528,171,61,2
529,171,30,3
530,172,84,1
531,172,70,2
532,173,32,3
533,173,5,2
534,173,29,1
535,173,79,2
536,174,64,1
537,174,76,3
538,174,23,2
539,175,66,1
540,176,39,1
541,177,33,1
542,177,19,2
543,178,66,3
544,178,7,1
545,178,45,1
546,178,81,2
547,178,87,3
548,179,89,2
549,179,2,1
550,180,48,2
551,180,8,1
552,180,15,3
553,180,7,3
554,181,88,1
555,181,48,2
556,182,34,2
557,182,84,1
558,182,53,2
559,182,36,3
560,183,98,3
561,183,63,3
562,184,89,2
563,185,9,3
564,185,77,1
565,185,93,3
566,185,53,1
567,186,67,3
568,186,36,2
569,186,39,2
570,186,9,2
571,186,17,3
572,187,33,3
573,187,99,3
574,187,46,1
575,187,15,3
576,187,16,3
577,188,2,1
578,188,7,3
579,188,12,2
580,188,85,2
581,188,61,2
582,189,3,2
583,190,24,1
584,191,54,3
585,191,18,2
586,191,62,3
587,192,46,1
588,193,7,1
589,193,18,2
590,193,21,3
591,193,27,1
592,193,30,2
593,194,26,1
594,194,18,1
595,195,80,1
596,195,24,3
597,195,88,3
598,196,1,3
599,196,12,2
600,197,65,3
601,197,13,2
602,197,58,2
603,197,60,1
604,197,93,3
605,198,56,1
606,198,17,1
607,198,11,2
608,199,8,1
609,199,29,2
610,200,96,2
611,200,73,2
612,200,92,2
613,200,37,2
614,201,81,1
615,201,75,3
616,201,53,1
617,202,33,3
618,202,50,3
619,203,56,2
620,203,89,3
621,203,28,3
622,203,21,3
623,204,32,2
624,205,89,3
625,205,76,2
626,205,85,3
627,206,37,3
628,206,78,2
629,206,83,2
630,206,27,3
631,206,60,1
632,207,73,3
633,207,78,3
634,208,50,3
635,208,75,3
636,208,79,1
637,208,71,1
638,209,35,3
639,209,61,2
640,210,26,2
641,211,81,1
642,211,70,1
643,211,97,1
644,212,82,3
645,212,85,2
646,213,65,3
647,213,52,2
648,213,41,3
649,214,96,1
650,214,41,2
651,214,76,3
652,214,55,2
653,214,24,3
654,215,69,2
655,215,93,2
656,215,78,3
657,216,57,1
658,216,50,1
659,216,27,2
660,216,87,2
661,217,42,3
662,217,18,2
663,217,53,3
664,217,22,2
665,218,33,3
666,218,29,2
667,219,89,1
668,219,75,1
669,219,61,3
670,220,65,1
671,220,83,2
672,220,92,1
673,220,61,2
674,221,90,3
675,221,28,3
676,222,65,1
677,222,52,2
678,222,84,2
679,223,16,2
680,223,83,2
681,223,20,1
682,223,30,2
683,224,46,3
684,224,17,2
685,224,42,1
686,224,22,1
687,225,75,3
688,225,21,3
689,225,87,3
690,225,59,3
691,225,94,2
692,226,8,1
693,226,82,2
694,227,51,2
695,227,27,1
696,228,49,2
697,228,10,2
698,228,27,2
699,228,4,1
700,229,2,3
701,229,99,2
702,229,38,3
703,229,87,3
704,230,1,3
705,230,36,3
706,231,26,2
707,231,76,3
708,231,87,1
709,232,2,2
710,232,7,1
711,232,75,2
712,232,76,2
713,232,57,1
714,233,24,3
715,234,57,3
716,234,84,2
717,234,29,1
718,234,70,3
719,235,65,1
720,235,5,2
721,236,20,1
722,237,57,2
723,237,43,1
724,237,28,1
725,238,74,2
726,238,78,2
727,238,15,3
728,238,28,2
729,238,63,1
730,239,2,1
731,239,14,2
732,240,73,2
733,240,50,2
734,241,67,2
735,241,36,2
736,241,43,3
737,241,48,3
738,241,92,3
739,242,2,2
740,242,3,2
741,242,52,1
742,242,62,2
743,242,63,3
744,243,42,2
745,243,27,2
746,243,79,1
747,243,95,1
748,244,92,1
749,244,78,1
750,245,81,2
751,245,90,1
752,245,1,1
753,245,17,3
754,246,54,1
755,246,70,1
756,247,61,3
757,247,62,2
758,247,87,3
759,248,8,1
760,248,95,2
761,249,73,1
762,249,27,2
763,249,77,3
764,249,7,1
765,250,23,3
766,251,19,3
767,251,12,2
768,251,94,1
769,251,36,2
770,252,65,3
771,252,50,1
772,253,42,3
773,253,4,1
774,254,97,1
775,254,59,1
776,254,54,1
777,255,58,1
778,255,37,2
779,255,29,3
780,255,46,1
781,256,66,1
782,257,72,3
783,258,32,2
784,258,64,3
785,258,67,3
786,258,39,1
787,258,17,2
788,259,93,2
789,259,86,2
790,259,63,3
791,260,24,2
792,260,39,2
793,261,57,3
794,261,5,3
795,262,90,1
796,262,95,1
797,263,1,1
798,263,75,3
799,263,94,2
800,263,30,1
801,264,32,2
802,264,98,2
803,264,89,3
804,264,60,1
805,264,25,3
806,265,30,1
807,266,34,1
808,266,51,2
809,266,93,3
810,267,3,1
811,267,41,1
812,267,20,1
813,267,53,2
814,267,61,3
815,268,31,1
816,269,30,3
817,270,92,1
818,270,29,2
819,271,51,1
820,271,91,2
821,271,23,1
822,272,72,1
823,272,74,2
824,272,77,3
825,273,49,2
826,273,52,3
827,273,84,2
828,273,86,1
829,273,28,2
830,274,66,2
831,274,35,2
832,274,70,2
833,274,40,1
834,274,54,3
835,275,73,1
836,275,62,1
837,276,9,2
838,276,76,2
839,277,2,1
840,277,13,3
841,277,63,2
842,278,64,3
843,278,89,3
844,278,58,2
845,278,94,3
846,279,43,2
847,279,27,3
848,279,23,3
849,280,32,2
850,280,90,3
851,280,83,3
852,280,42,2
853,281,82,1
854,281,93,3
855,282,70,1
856,283,12,1
857,284,86,1
858,285,76,3
859,285,93,3
860,285,62,3
861,286,19,1
862,286,52,2
863,286,55,3
864,287,80,3
865,287,86,2
866,288,43,2
867,288,3,2
868,289,49,1
869,289,11,3
870,289,87,3
871,290,81,2
872,290,1,3
873,290,7,2
874,291,38,3
875,291,40,3
876,291,42,1
877,291,84,1
878,291,22,3
879,292,25,1
880,292,11,1
881,292,71,2
882,293,73,3
883,293,1,3
884,294,98,2
885,294,44,1
886,294,45,1
887,294,48,1
888,294,52,1
889,295,11,1
890,295,17,2
891,295,82,3
892,295,85,3
893,295,57,3
894,296,74,3
895,297,75,2
896,298,76,3
897,298,13,2
898,298,25,1
899,298,59,1
900,298,93,3
901,299,43,2
902,299,79,3
903,299,20,1
904,299,53,1
905,299,25,3
906,300,65,3
907,300,3,2
908,300,45,2
909,300,54,1
910,301,50,3
911,301,36,2
912,301,39,1
913,302,2,1
914,302,3,1
915,302,34,1
916,302,42,1
917,302,93,3
918,303,8,3
919,303,11,1
920,303,50,3
921,303,86,3
