order_id,customer_id,order_date,total_amount
1,4695,2024-03-27,656.11
2,1676,2025-09-06,945.53
3,1631,2024-12-08,977.87
4,2683,2022-12-01,615.86
5,3636,2024-07-02,902.09
6,1895,2024-05-04,634.06
7,726,2022-10-25,781.88
8,1308,2024-03-27,124.63
9,538,2023-08-03,150.32
10,2989,2022-10-31,387.01
11,4335,2024-03-05,803.72
12,3956,2024-11-26,331.65
13,1387,2025-07-11,189.56
14,3426,2025-09-04,899.11
15,2280,2024-12-22,321.99
16,3519,2023-01-29,14.97
17,4629,2025-02-08,645.92
18,1540,2025-02-09,781.83
19,3902,2024-10-12,846.59
20,3060,2024-09-02,735.8
21,3305,2025-04-28,188.43
22,2970,2025-01-17,88.02
23,1131,2023-06-16,632.37
24,1066,2024-06-08,866.54
25,4044,2023-11-14,187.89
26,13,2023-08-11,986.23
27,4313,2024-11-05,726.66
28,4691,2023-07-05,289.98
29,4065,2023-10-23,641.59
30,1269,2023-05-27,573.28
31,1870,2024-02-25,15.67
32,987,2023-12-02,945.66
33,3939,2024-11-28,903.42
34,299,2023-03-16,781.39
35,4673,2023-07-15,708.82
36,2849,2024-09-29,951.24
37,3430,2023-06-16,568.52
38,492,2023-01-01,813.35
39,4514,2024-08-29,195.19
40,616,2023-05-20,21.03
41,1702,2025-08-01,534.2
42,747,2024-12-25,312.02
43,385,2023-02-14,15.84
44,450,2023-01-26,653.77
45,2336,2023-10-09,775.79
46,3437,2024-07-09,392.53
47,243,2022-10-02,293.47
48,2579,2023-01-21,950.19
49,1431,2024-11-21,368.84
50,1576,2025-01-29,573.56
51,1225,2023-08-02,325.41
52,3344,2023-07-29,128.4
53,636,2025-04-10,345.09
54,1544,2023-03-26,813.52
55,2910,2025-07-02,134.43
56,741,2023-04-23,26.82
57,4923,2023-12-04,596.46
58,513,2025-02-10,385.29
59,4564,2022-09-22,697.12
60,3480,2023-01-07,908.15
61,2737,2023-10-29,982.65
62,2720,2023-11-04,447.17
63,1288,2022-12-01,590.8
64,2325,2024-01-01,783.47
65,3584,2025-04-06,46.14
66,399,2024-02-29,550.18
67,4253,2024-03-10,458.01
68,1426,2024-06-23,247.34
69,3041,2023-11-11,909.26
70,2774,2025-01-17,73.66
71,2,2025-01-12,134.3
72,1989,2023-12-17,237.61
73,4255,2025-07-02,471.82
74,671,2025-05-23,669.76
75,2500,2024-11-08,857.25
76,3644,2023-07-27,111.78
77,3753,2025-08-08,96.62
78,4030,2025-08-09,675.76
79,1094,2023-07-21,665.9
80,2380,2023-07-30,638.47
81,3355,2025-03-22,821.56
82,196,2024-08-17,584.36
83,2073,2025-01-13,691.44
84,3005,2025-01-14,289.44
85,2655,2022-09-19,706.83
86,4795,2023-02-11,460.34
87,1520,2023-06-29,557.45
88,1618,2025-06-09,154.05
89,881,2023-06-17,727.84
90,342,2022-10-28,761.38
91,3103,2025-07-12,804.84
92,4866,2022-11-23,518.11
93,37,2023-12-24,67.66
94,1820,2024-07-12,930.32
95,3697,2022-12-18,582.85
96,3419,2023-08-04,464.2
97,1383,2023-04-23,168.9
98,4823,2024-01-05,766.26
99,3551,2024-09-19,584.63
100,2111,2023-04-16,625.18
101,1192,2023-06-24,128.12
102,3491,2024-01-15,977.9
103,2351,2025-03-10,705.12
104,1542,2024-10-18,762.03
105,2108,2023-12-29,525.31
106,3365,2023-11-07,678.79
107,2852,2025-08-04,19.73
108,55,2024-11-15,693.29
109,1576,2023-09-22,126.66
110,1597,2024-03-23,939.06
111,2080,2022-09-30,266.99
112,1393,2024-04-30,564.14
113,2683,2023-07-28,165.64
114,1123,2025-03-12,687.09
115,3912,2024-05-27,235.35
116,3351,2024-06-15,784.4
117,4870,2025-07-24,446.1
118,3588,2025-06-27,90.94
119,2724,2025-02-15,615.5
120,3377,2025-06-01,250.06
121,1757,2022-09-17,785.84
122,585,2023-03-06,618.78
123,3095,2023-09-11,374.01
124,2574,2022-12-24,411.27
125,4947,2023-03-03,166.19
126,1890,2024-06-06,370.12
127,3357,2023-10-22,30.57
128,3474,2022-10-06,528.58
129,2712,2024-07-25,625.33
